,Headline,Date,Day,Month,Year,Category,Posted by
0,5 Use Cases for Generative AI in Data Analytics,2024-06-06,6,6,2024,Data Analytics, ODSC Community
1,How to Optimize Supply Chain Efficiency with Big Data Analytics,2024-06-06,6,6,2024,Data Analytics, April Miller
2,How Predictive Analytics Aids Decision-Making in Healthcare,2024-05-10,10,5,2024,Data Analytics, Zac Amos
3,Data Analytics in the Age of AI,2024-04-02,2,4,2024,Data Analytics, ODSC Team
4,Navigating the Challenges of LLMs in Big Data Analytics with Google Cloud,2024-03-27,27,3,2024,Data Analytics, ODSC Community
5,Sustainability and Data Analytics: Missed Opportunities Due to Integration Failures,2024-02-21,21,2,2024,Data Analytics, April Miller
6,How to Use Predictive Analytics to Boost Employee Engagement,2024-02-07,7,2,2024,Data Analytics, Zac Amos
7,How to Implement Augmented Analytics for Data-Driven Decision-Making,2024-02-06,6,2,2024,Data Analytics, April Miller
8,7 Leading Universities With Data Analytics Degrees Coming to ODSC East,2023-04-25,25,4,2023,Data Analytics, ODSC Team
9,Top Data Analytics Skills and Platforms for 2023,2023-03-14,14,3,2023,Data Analytics, ODSC Team
10,Can We Wage War Against Opioids with Data and Analytics?,2022-11-16,16,11,2022,Data Analytics, ODSC Community
11,The Role of Data Analytics in Combating Ocean Plastic,2022-09-26,26,9,2022,Data Analytics, ODSC Community
12,Your Guide For Analyzing Real Time Data with Streaming Analytics from SAS® Viya® on Azure,2021-12-02,2,12,2021,Data Analytics, ODSC Community
13,SAS Viya Visual Data Science Decisioning Free Trial: The Ultimate Analytics Experience,2021-05-27,27,5,2021,Data Analytics, ODSC Community
14,Top Trends in Big Data Analytics That Will Dominate in 2021,2021-02-01,1,2,2021,Data Analytics, ODSC Community
15,How Big Data Analytics are Used in the Banking Industry,2020-12-28,28,12,2020,Data Analytics, Shannon Flynn
16,An Overview of Building End-To-End Big Data Reporting & Analytics Systems,2020-11-30,30,11,2020,Data Analytics, ODSC Community
17,Building an Advanced Analytics and Data Science Team in Government Context,2020-11-23,23,11,2020,Data Analytics, ODSC Community
18,Maximize Upstream DataOps Efficiency Through AI and Machine Learning to Accelerate Analytics ,2020-10-26,26,10,2020,Data Analytics, ODSC Community
19,5 Tips to Improve Lead Generation Using AI-Powered Social Media Data Analytics,2020-09-28,28,9,2020,Data Analytics, ODSC Community
20,How to Build a JSON Event Processing Pipeline with Oracle Database and Spring Boot,2024-12-10,10,12,2024,Data Engineering, ODSC Community
21,The Rise of Open-Source Data Catalogs: A New Opportunity For Implementing Data Mesh,2024-11-19,19,11,2024,Data Engineering, ODSC Community
22,AI and Data: Enhancing Development with GitHub Copilot,2024-09-30,30,9,2024,Data Engineering, ODSC Community
23,Building an Effective OSS Management Layer for Your Data Lake,2024-09-30,30,9,2024,Data Engineering, ODSC Community
24,Data Mining Techniques in Fraud Detection,2024-06-24,24,6,2024,Data Engineering, Zac Amos
25,Ethical Considerations in Gamifying Data Management in Organizations,2024-05-21,21,5,2024,Data Engineering, April Miller
26,How to Measure Data Quality in Data Environments,2024-04-12,12,4,2024,Data Engineering, ODSC Community
27,"Unlock Safety & Savings: Mastering a Secure, Cost-Effective Cloud Data Lake",2024-04-12,12,4,2024,Data Engineering, ODSC Community
28,How to Use AI in Your Data Backup Strategy,2024-04-12,12,4,2024,Data Engineering, Zac Amos
29,Podcast: Deciphering Data Architectures with James Serra,2024-04-09,9,4,2024,Data Engineering, ODSC Team
30,Unlocking the Power of Gen AI with Data Engineering,2024-04-02,2,4,2024,Data Engineering, ODSC Community
31,Experimentation Platform at DoorDash,2024-03-18,18,3,2024,Data Engineering, ODSC Community
